# Every claim this project makes that something can check, and the check.
#
# ONE ROW PER CLAIM. Tab-separated: id, tags, speed, claim, command.
#
# WHY IT IS A FILE AND NOT A SCRIPT
#
# A fix for one fault quietly removed the repair from a mount rung and broke
# dirty-NTFS repair -- a thing proven weeks earlier and still written down as
# proven. Nothing caught it, because what recorded the claim was prose, and
# prose has to be re-read and believed by whoever comes next. After a
# compaction, or in a new session, there is nobody left who remembers to.
#
# A row here is different: verify.sh runs it, and a claim that no longer holds
# says so without anyone having to remember it existed.
#
# ADDING ONE. When a bug is fixed, or a behaviour is proven, add a row. If the
# claim has no check yet, still add the row and leave the command empty -- an
# unchecked claim then appears in the list as unchecked, which is the honest
# state and is visible rather than assumed.
#
# The `hardware` tag needs a drive plugged in and LUKOTTA_TEST_DEVICE naming
# it. That row cannot pass on fixtures and must never be made to: a disk
# image cannot show the durability fault at all, because imago's writes to a
# file land in the kernel's page cache and survive the process dying. It is
# the one claim here that only real hardware can answer.
#
# TAGS are free-form and comma-separated. "goal" is the owner's ten items;
# anything else -- release, privacy, engine, ui -- is its own set, and
# `TAG=release ./scripts/verify.sh` runs just that one. The point is that this
# outlives any particular list of goals: a task that proves something adds its
# row and the row is checked from then on.
#
# SPEED is fast, slow or long. Anything but fast needs FULL=1, so the fast
# gate stays quick enough to run on every change. long is for checks that
# genuinely run past half an hour -- launching several apps, each booting a
# machine -- so a real hang is still told apart from a long job.
#
# id	tags	speed	claim	command
goal1	goal	slow	writing does not stall	bash scripts/writing-does-not-stall.sh
goal2	goal	long	no crash copying through Finder, both extremes	bash scripts/with-a-drive-open.sh ntfs-vectors.img bash scripts/finder-copy-cycles.sh
goal3	goal	slow	nothing user-visible during a copy	bash scripts/reclaims-a-poisoned-name.sh
goal4	goal	slow	NTFS byte-identical (BitLocker needs the real drive)	THROUGH_APP=1 bash scripts/integrity-vectors.sh "$HOME/.lukotta-testvols/ntfs-vectors.img" "$LUKOTTA_ENGINE"
goal5	goal	long	LUKS and the Linux filesystems inside it	FIXTURES="luks-ext4 luks-xfs luks1-lvm luks2-direct luks2-lvm luks-lvm-big luks-multi" bash scripts/vectors-every-format.sh
goal6	goal	long	every other format the app advertises	FIXTURES="ntfs-vectors ext4-vectors btrfs-vectors exfat-vectors plain-xfs plain-ext4 plain-ext3 plain-ext2 plain-exfat plain-fat" bash scripts/vectors-every-format.sh
goal7	goal	slow	a dirty NTFS volume is repaired, data intact	bash scripts/dirty-ntfs-repair.sh
corpus	goal	long	83 deliberately corrupted NTFS images, none scribbled on	bash scripts/corrupt-corpus.sh
guestfresh	goal	fast	the unpacked Linux environment is the one the app carries	bash scripts/guest-matches-the-bundle.sh
twoatonce	goal	fast	a second drive opens while a first one is open	bash scripts/two-at-once.sh
ntfsck	integrity	slow	the checker repairs an interrupted copy, damaged before and clean after	bash scripts/ntfsck-repairs.sh
ntfsckapp	integrity	slow	a damaged volume opens writable through the app, and a healthy one is not scanned	bash scripts/repairs-through-the-app.sh
goal8	goal	long	a dozen volumes under 8 GB of pressure, still served	bash scripts/twelve-under-pressure.sh
goal9	goal	long	integrity across every vector devised	bash scripts/vectors-every-format.sh
goal10	goal	fast	no UX cost anywhere in the above	bash scripts/run-tests.sh
cost	ux	slow	a durability option does not cost a copy its speed	MB=500 bash scripts/durability-cost.sh
durable	hardware	slow	a committed write survives the machine dying, on a real drive	bash scripts/kill-durability.sh "${LUKOTTA_TEST_DEVICE:?set it to a spare drive}"
finderparity	goal,hardware	slow	on a real BitLocker drive Finder copies at the drive's speed and deletes a 500-file folder with nothing skipped	MB=1024 FILES=500 bash scripts/finder-parity.sh "${LUKOTTA_TEST_VOLUME:?set it to a folder on the open test drive}"
listing	integrity	slow	a folder listed and emptied at once, as Finder deletes, gives every entry once and leaves none	bash scripts/with-a-drive-open.sh ntfs-vectors.img bash scripts/listing-survives-deletion.sh
cancelclean	goal,hardware	slow	a Finder copy cancelled onto a Lukotta volume leaves no empty files behind, with the app running	
unit	code	fast	the unit checks pass	bash scripts/run-tests.sh
lint	code	fast	the sources lint clean	bash scripts/lint.sh
private	privacy,release	fast	no release carries anything of the owner's	/usr/bin/python3 scripts/check-private.py
casks	release	fast	the published casks point at files that exist	bash scripts/check-casks.sh
changelog	release	fast	the release notes read the way the approved ones do	/usr/bin/python3 scripts/check-changelog.py
firstrun	engine	slow	a first run on a new install opens a drive	bash scripts/first-run-open.sh
heals	engine	slow	a removed Linux environment is put back by itself	LUKOTTA_APP="${LUKOTTA_ENGINE%/Contents/Resources/engine/anylinuxfs/bin/anylinuxfs}" bash scripts/heals-itself.sh
homes	engine	long	two apps using the engine do not share a home	LUKOTTA_APP="${LUKOTTA_ENGINE%/Contents/Resources/engine/anylinuxfs/bin/anylinuxfs}" bash scripts/homes-are-separate.sh
torture	integrity	slow	a corpus copied onto a drive reads back byte for byte	bash scripts/with-a-drive-open.sh ntfs-vectors.img bash scripts/copy-torture.sh
forks	integrity	slow	extended attributes and resource forks survive	bash scripts/with-a-drive-open.sh ntfs-vectors.img bash scripts/xattr-forks.sh
firstwrite	goal	slow	the first write after a volume opens, over and over	bash scripts/first-write-after-open.sh
imageformats	goal	long	every image container the app claims it can write to	bash scripts/format-write-sweep.sh
fullvolume	goal	slow	what a person is told when a volume runs out of room	bash scripts/full-volume-error.sh
crowdafter	goal	long	twelve volumes killed mid-copy, then opened again	bash scripts/interrupted-then-crowd.sh
lvmlock	goal	slow	the second volume of a Linux laptop disk opens too	bash scripts/lvm-lock-rule.sh
nowindow	goal	slow	a dead mount goes on its own, before macOS tells anybody	bash scripts/never-the-interrupted-window.sh
tmpcontained	integrity	fast	nothing this project makes is left loose in the shared temporary directory	bash scripts/nothing-loose-in-tmp.sh
releasewaitsforbeta	release	fast	a release refuses a version whose beta was not proven by prove-beta.sh	grep -q "scripts/beta-proven.sh" scripts/ship.sh && ! bash scripts/beta-proven.sh 0.0.0 2>/dev/null
mountsurvivesolderhelper	goal,hardware	slow	a drive opened in the dev build reaches Finder and stays, ten times in ten, with older Lukotta helpers running	bash scripts/mount-survives-older-helper.sh "${LUKOTTA_NTFS_DEVICE:?set it to the NTFS test drive}" 10
volumenamecase	goal,hardware	slow	Finder shows an NTFS volume under its own label, case and all, at /Volumes/<label> with no ' 1'	bash scripts/volume-name-case.sh "${LUKOTTA_NTFS_DEVICE:?set it to the NTFS test drive}"
keysalwaysfound	goal,code	fast	a saved key is found by every Lukotta app, build and version, with no prompt, and nothing but Forget removes it	f="$(mktemp)"; bash scripts/run-tests.sh > "$f" 2>&1; grep -q '^  ok   aSavedKeyIsAlwaysFound$' "$f"
drivesremembered	goal,code	fast	every drive ever opened is remembered by every Lukotta app, whatever becomes of its settings	f="$(mktemp)"; bash scripts/run-tests.sh > "$f" 2>&1; grep -q '^  ok   aDriveIsRememberedByEveryApp$' "$f"
findereject	goal,hardware	slow	a drive opened in the window and ejected in Finder is closed in the window, which goes back to the list with the drive ready to open again	bash scripts/finder-eject-closes.sh "${LUKOTTA_NTFS_DEVICE:?set it to the NTFS test drive}"
finderdeletes	goal,hardware	slow	Finder deletes a 2000-file folder from a Lukotta drive three times in a row with nothing skipped and no dialog	bash scripts/finder-deletes-everything.sh "${LUKOTTA_NTFS_DEVICE:?set it to the NTFS test drive}"
drivescomeback	goal,code	fast	a drive left open is opened again at the next launch, read-only if it was, until it is ejected	f="$(mktemp)"; bash scripts/run-tests.sh > "$f" 2>&1; grep -q '^  ok   whatWasOpenIsRememberedForNextTime$' "$f"
openprogress	goal,hardware	slow	opening a drive in the window shows progress within a second of Unlock and a countdown every moment until it is open	bash scripts/open-shows-progress.sh "${LUKOTTA_NTFS_DEVICE:?set it to the NTFS test drive}"
quitnames	goal,hardware	slow	quitting with a drive open names the drive as Finder does, in the question and while it ejects, and leaves nothing mounted	bash scripts/quit-names-drive.sh "${LUKOTTA_NTFS_DEVICE:?set it to the NTFS test drive}"
keyacrosseveryapp	goal,hardware	slow	a key saved once opens the drive from every Lukotta app installed, with nothing typed and no prompt	bash scripts/key-found-by-every-app.sh "${LUKOTTA_BITLOCKER_DEVICE:-${LUKOTTA_TEST_DEVICE:?set it to the BitLocker test drive}}"
driveknownbyeveryapp	goal,hardware	slow	a drive opened once is known by the same name to every Lukotta app installed, from what they all remember	bash scripts/drive-known-by-every-app.sh "${LUKOTTA_BITLOCKER_DEVICE:-${LUKOTTA_TEST_DEVICE:?set it to the BitLocker test drive}}"
